"","type","tag.serial.number","burst.start.timestamp","annotation","eobs_acceleration_sampling_frequency_per_axis","sample.timestamp","acceleration.x","acceleration.y","acceleration.z"
"1","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:08.000",1745,2319,1775
"2","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:08.100",1722,2340,1792
"3","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:08.200",1746,2308,1814
"4","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:08.300",1720,2268,1822
"5","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:08.400",1655,2297,1835
"6","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:08.500",1673,2310,1843
"7","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:08.600",1806,2360,1743
"8","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:08.700",1842,2520,1683
"9","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:08.800",1868,2380,1748
"10","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:08.900",1836,2398,1746
"11","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:09.000",1864,2403,1726
"12","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:09.100",1862,2411,1730
"13","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:09.200",1831,2415,1749
"14","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:09.300",1850,2479,1795
"15","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:09.400",1844,2397,1763
"16","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:09.500",1820,2378,1754
"17","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:09.600",1835,2415,1753
"18","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:09.700",1828,2419,1757
"19","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:09.800",1833,2416,1759
"20","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:09.900",1822,2408,1762
"21","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:10.000",1821,2413,1762
"22","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:10.100",1821,2409,1755
"23","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:10.200",1831,2412,1763
"24","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:10.300",1826,2405,1762
"25","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:10.400",1808,2408,1765
"26","acc",0,"2020-07-21 00:25:08.000","keep",10,"2020-07-21 00:25:10.500",1823,2403,1761
"27","acc",0,"2020-07-21 00:25:20.000","keep",10,"2020-07-21 00:25:20.000",1804,2397,1764
