"","burst","var.x","var.y","var.z","burst","index","sg.time","threshold.z","threshold.y","threshold.x"
"1",1,3322.39384615385,3039.06615384615,1188.43846153846,1,1,2020-07-21 00:25:08,"high","high","high"
"2",2,72.9353846153846,80.6646153846154,39.8153846153846,2,1,2020-07-21 00:25:20,"low","low","low"
"3",3,327.698461538462,329.281538461538,62.7461538461538,3,1,2020-07-21 00:25:40,"low","low","low"
"4",4,25.94,6.17846153846154,5.70461538461538,4,1,2020-07-21 00:26:07,"low","low","low"
"5",5,471.933846153846,616.838461538462,119.484615384615,5,1,2020-07-21 00:26:20,"low","low","low"
"6",6,14.1661538461538,21.0584615384615,9.38461538461539,6,1,2020-07-21 00:26:40,"low","low","low"
"7",7,233.946153846154,1211.14461538462,1798.50615384615,7,1,2020-07-21 00:27:09,"high","high","low"
"8",8,22.8246153846154,10.24,4.64,8,1,2020-07-21 00:27:20,"low","low","low"
"9",9,1825.46615384615,767.624615384615,319.053846153846,9,1,2020-07-21 00:27:40,"low","low","high"
"10",10,5.41538461538462,8.72153846153846,6.63384615384615,10,1,2020-07-21 00:28:16,"low","low","low"
"11",11,7.80461538461538,10.6646153846154,14.0138461538462,11,1,2020-07-21 00:28:20,"low","low","low"
"12",12,175.275384615385,165.78,169.398461538462,12,1,2020-07-21 00:28:40,"low","low","low"
"13",13,19216.34,25825.12,8199.32461538462,13,1,2020-07-21 00:29:08,"high","high","high"
"14",14,59947.1815384615,95843.2446153846,155962.444615385,14,1,2020-07-21 00:29:20,"high","high","high"
"15",15,15626.6646153846,30649.2015384615,16725.9938461538,15,1,2020-07-21 00:29:40,"high","high","high"
"16",16,11557.3538461538,25492.8753846154,11751.0784615385,16,1,2020-07-21 00:30:08,"high","high","high"
"17",17,16826.32,18749.5215384615,9760.48153846154,17,1,2020-07-21 00:30:20,"high","high","high"
"18",18,19833.8584615385,24967.6938461538,12483.5584615385,18,1,2020-07-21 00:30:40,"high","high","high"
"19",19,36320.9415384615,14907.1384615385,5725.41538461538,19,1,2020-07-21 00:31:10,"high","high","high"
"20",20,18837.5584615385,18924.1,6739.01538461538,20,1,2020-07-21 00:31:20,"high","high","high"
"21",21,26814.7338461538,43305.7246153846,17230.5784615385,21,1,2020-07-21 00:31:40,"high","high","high"
"22",22,8824.79384615385,18938.3815384615,5976.16153846154,22,1,2020-07-21 00:32:08,"high","high","high"
"23",23,10844,15174.4938461538,9266.31538461539,23,1,2020-07-21 00:32:20,"high","high","high"
"24",24,15131.7661538462,21940.6646153846,5325.69384615385,24,1,2020-07-21 00:32:40,"high","high","high"
"25",25,30518.3461538462,8095.44615384615,6646.82,25,1,2020-07-21 00:33:09,"high","high","high"
"26",26,401.86,382.475384615385,852.824615384615,26,1,2020-07-21 00:33:20,"low","low","low"
"27",27,483.644615384615,2873.81538461538,1245.28615384615,27,1,2020-07-21 00:33:40,"high","high","low"
"28",28,333.193846153846,88.2215384615385,58.2646153846154,28,1,2020-07-21 00:34:08,"low","low","low"
"29",29,327.521538461538,530.013846153846,222.295384615385,29,1,2020-07-21 00:34:20,"low","low","low"
