"","behaviour","mean.X","mean.Y","mean.Z","min.X","min.Y","min.Z","kurt.X","kurt.Y","kurt.Z","skew.X","skew.Y","skew.Z","max.X","max.Y","max.Z","sd.X","sd.Y","sd.Z","range.X","range.Y","range.Z","pitch","roll","odba","freq.X","freq.Y","freq.Z","amp.X","amp.Y","amp.Z","index"
"68","run",0,-1.81894083128853e-13,-9.09702868590046e-14,-1244,-631.3,-1126.65,1.81363494607202,0.133461142732973,-0.283959567382883,0.962593389125613,0.8988518819871,0.219088495299354,2009,1140.7,1517.35,681.505377049491,445.746222347248,632.388893923585,3253,1772,2644,-0.559316398217088,0.987817556313829,25828.3,39280,49946,32993,1964,2497.3,1649.65,"864"
"855","sit",-1.81898940354586e-13,1.81898799408303e-13,0,-13.8000000000002,-15.9499999999998,-7.75,1.5214526567907,-1.4578043039672,1.09163813139541,1.42876352955182,0.134502069982103,0.700433946372104,31.1999999999998,20.0500000000002,11.25,10.6997294604264,11.2599663456541,4.10231000393937,45,36,19,-0.704518844550113,0.904404234973675,404.800000000001,48316,44679,35135,2415.8,2233.95,1756.75,"1614"
"1647","lie",0,-1.81892001460682e-13,0,-151,-282.55,-193.25,-0.392776418600294,0.287893828833333,-0.472032037428483,0.429807233421756,-0.603681342962463,0.318434192288426,206,195.45,210.75,95.1381267310574,111.28979477496,106.515071827023,357,478,404,-0.667928550236423,0.928177430719229,4599.4,41920,42531,31845,2096,2126.55,1592.25,"321"
"1976","lie",0,9.09497303858142e-14,-9.09491232325976e-14,-21.5,-34.8499999999999,-26.1500000000001,-1.19576120586146,-0.926415408629018,-1.39776741080679,0.584603424189586,-0.642787935330549,0.0426009533230301,33.5,25.1500000000001,31.8499999999999,18.477582434712,18.896602312251,18.6583549791056,55,60,58,-0.683318058472723,0.926311479542215,914.6,46950,46097,34643,2347.5,2304.85,1732.15,"248"
"639","sit",-4.54739978311691e-14,9.09472150367741e-14,0,-61.2,-185.85,-120.75,-1.18664132912013,-0.126911909850237,-1.02798658947153,0.0150550681066016,0.690169807897378,-0.0915663605316014,63.8,302.15,92.25,37.652986181989,122.361963044077,61.1683397639145,125,488,213,-0.565733633968704,0.902424987523711,3480.1,34024,42097,33195,1701.2,2104.85,1659.75,"1326"
"2456","walk",-4.54782045355984e-14,-1.81901022022757e-13,4.54726534204752e-14,-377.2,-223.55,-190.55,0.678723028092491,-1.46490832374133,-0.882768440635559,0.488908922059779,-0.248479353895868,-0.0114894631481199,509.8,202.45,208.45,196.31971775384,140.128690852373,109.456299859567,887,426,399,-0.605481434801921,0.953153981575769,6806.4,40324,47371,33611,2016.2,2368.55,1680.55,"2217"
"879","sit",1.81898636777977e-13,-9.0949659912673e-14,-9.09500339624225e-14,-29.9499999999998,-19.6500000000001,-20.9000000000001,-0.930997622053647,0.101460091157268,-1.19069921644935,0.0158279232047886,-0.795189491992196,-0.263666018046814,32.0500000000002,13.3499999999999,15.0999999999999,18.4547098538415,8.75559971194375,10.6716545355589,62,33,36,-0.690854024489553,0.927394217070285,584.599999999999,46579,45073,33798,2328.95,2253.65,1689.9,"1473"
"69","run",9.09538937221566e-14,0,0,-327.6,-450.75,-1013,0.336296028842858,-0.142676797805927,-1.17863490641711,0.721838467670781,1.0043576132061,-0.57722338418903,554.4,891.25,745,212.836087165687,368.651008122145,540.265431840781,882,1342,1758,-0.572678508814575,0.967798321417758,18061.2,36872,46075,31760,1843.6,2303.75,1588,"1070"
"161","forage",0,9.09501640666832e-14,9.09504459592481e-14,-163.5,-154.6,-224.1,-0.909252934238112,-1.60783861237553,0.768743627630689,0.227324512190467,-0.101247831779136,-0.894878222266496,236.5,145.4,105.9,106.542553890329,96.3023746769572,79.3618627752518,400,300,330,-0.689889647669447,0.931391968205076,4777,44850,43592,32402,2242.5,2179.6,1620.1,"127"
"1129","walk",-1.81898766882238e-13,0,9.09501640666832e-14,-272.55,-200,-100.35,-0.125495071424166,-0.522342197787435,2.0117110829521,0.978834875277649,0.0606463856863129,1.08962866535995,524.45,211,199.65,213.671778546837,97.8183063267381,65.1349005000997,797,411,300,-0.651230429007887,0.943778311488478,5862.2,44851,47540,34427,2242.55,2377,1721.35,"2515"
"2188","sit",1.81895470907634e-13,9.09460007303409e-14,-9.09477354538169e-14,-344.95,-123.85,-120.15,0.121542044453233,-0.750758992154679,-1.23359551947894,-0.88133101813168,0.125743505651571,-0.0328855481762,142.05,184.15,117.85,129.76272881484,81.4889563069745,67.0296674300975,487,308,238,-0.712271225239924,0.906137690195968,4603.1,44799,40797,31963,2239.95,2039.85,1598.15,"1333"
"643","sit",-4.54742146716036e-14,-1.81899981188671e-13,4.54745270573546e-14,-70.2,-56.3000000000002,-46.8,-0.822204173954409,-0.841011459812315,-0.143070884572865,-0.313940097462068,0.471999268716361,-0.597213886143749,59.8,77.6999999999998,35.2,34.8388772554606,37.5739271303919,19.5706547237385,130,134,82,-0.583139751472434,0.906907038240915,1427.6,34964,41746,32656,1748.2,2087.3,1632.8,"1691"
"1845","lie",-1.81898419937543e-13,0,-4.54750820333416e-14,-55.5500000000002,-34,-21.2,-1.46642394216183,-0.894109149689442,-1.35613236837851,-0.041265466650706,0.301178359178647,0.322211740079798,54.4499999999998,35,24.8,37.5828558338982,18.6152173178148,14.6524652138166,110,69,46,-0.721675028456077,0.88012970821382,1164.5,49051,42960,35504,2452.55,2148,1775.2,"534"
"192","run",9.09591846287583e-14,-9.09619601863199e-14,0,-1615.85,-990.9,-1959.5,0.304848818710567,-0.332671133091666,-1.05969664020941,0.387833947762514,0.416404116149984,-0.439959668446782,2462.15,1282.1,1276.5,939.739957031787,563.740132367836,941.378021279108,4078,2273,3236,-0.471075501388067,0.873446631698762,38788.1,32657,44378,39190,1632.85,2218.9,1959.5,"976"
"27","lie",-4.54754289780368e-14,1.81897552575805e-13,9.0948082398512e-14,-184.45,-225.95,-214.1,-1.14915313586216,0.383420141207084,0.0930992680475837,0.287887674487822,-1.08655911956215,-0.749660714863556,280.55,101.05,118.9,131.821040968827,91.7751686402557,84.0713356244815,465,327,333,-0.591432339740631,0.930149746854093,4955.9,36629,43679,32562,1831.45,2183.95,1628.1,"547"
"146","eat",-9.09494701772928e-14,9.09473885091216e-14,4.54747350886464e-14,-184.15,-184.1,-162.8,-0.657657939509938,-0.858055765850907,-0.501593526251891,-0.128299321041029,-0.636925053679158,0.0683287672075413,151.85,114.9,175.2,85.1186633007431,85.7222565216169,80.6131764076216,336,299,338,-0.696720570916752,0.929534801419686,4012.3,45583,43642,32576,2279.15,2182.1,1628.8,"14"
"317","walk",1.81894777018243e-13,1.81897379103457e-13,0,-302.2,-269.7,-333.25,-0.817788774105753,-0.299660716673096,-0.729480989202328,0.524254071841341,-0.446298827380089,-0.625237426059034,547.8,244.3,236.75,234.450443647087,122.938195854665,176.912370517455,850,514,570,-0.66432593771322,0.956321571970203,8669.3,43084,44734,31625,2154.2,2236.7,1581.25,"2559"
"387","lie",4.54806331484647e-14,1.81894430073548e-13,4.54753856099499e-14,-79.05,-68.9499999999998,-32.05,-0.50439285700728,-1.56561449822935,-1.13594572378098,0.455980442909644,0.0285676449258226,0.187520245796479,109.95,67.0500000000002,35.95,50.1308550852561,45.8928672361827,18.2539829828134,189,136,68,-0.527305021172679,0.920692390411875,1925,34841,47619,36201,1742.05,2380.95,1810.05,"410"
"2493","walk",-4.54636328584002e-14,0,-4.54730003651704e-14,-295.95,-276.75,-252.7,-1.11583634250121,-1.37548614563471,-0.378747810078699,0.199616647747093,-0.140413502048974,-0.240851350700822,376.05,279.25,185.3,194.797458915665,175.689880785793,107.029312266362,672,556,438,-0.604658537342971,0.941136555603785,7998,38739,45255,32894,1936.95,2262.75,1644.7,"1993"
"1195","lie",-4.54750820333416e-14,1.81898712672129e-13,9.09495569134666e-14,-60.45,-28.4499999999998,-54.3499999999999,-0.488687756968396,1.09048824456781,0.0690812338692783,-0.0853559405683146,1.01578381193062,-0.615503029473078,47.55,49.5500000000002,47.6500000000001,27.106951914689,17.5423547600177,24.9320655930639,108,78,102,-0.536725500573287,0.888671353858395,1017.4,32909,42929,34867,1645.45,2146.45,1743.35,"732"
"1443","run",9.09494701772928e-14,1.81885062566778e-13,0,-1944.35,-731.95,-1699.25,-0.0974933195168046,-1.26879427805871,-0.974529346959311,0.47268822232529,0.482971212709614,0.149865927740915,1954.65,1056.05,1773.75,974.3460573501,581.755462734174,912.309900890678,3899,1788,3473,-0.584175274703308,0.883286076829124,38373.4,42807,45039,38185,2140.35,2251.95,1909.25,"1001"
"261","stand",9.09487762879024e-14,-9.09496436496404e-14,-4.5474041199256e-14,-36.8499999999999,-28.6500000000001,-52.2,-1.22077239370012,-0.21406226014078,-0.671561449454394,0.292210616088834,-0.856361121736149,-0.749001879595261,51.1500000000001,18.3499999999999,28.8,27.5819830591218,12.0012060797414,23.4646430546942,88,47,81,-0.604985313530992,0.942652560465564,1005.6,37377,43733,31764,1868.85,2186.65,1588.2,"1924"
"1063","sit",0,1.81900111292932e-13,9.09473885091216e-14,-25.5,-41.4499999999998,-39.3499999999999,-0.903286273100034,-0.709020197538644,-1.16434559659054,0.468408218295317,-0.582016385089788,-0.250606601311764,31.5,30.5500000000002,38.6500000000001,15.7597087870503,21.3281997661115,22.5348268476292,57,72,78,-0.723603009428801,0.843091538761102,964.200000000001,50510,42689,38027,2525.5,2134.45,1901.35,"1498"
"1292","sit",4.54750820333416e-14,-1.8189846330563e-13,0,-69.3,-42.0500000000002,-71.75,-1.57668944132715,-0.894191916677561,-0.580873329367098,-0.165810764512157,-0.550425926136717,-0.849441911045404,65.7,27.9499999999998,32.25,42.8744802024652,20.9848943164764,30.0523665763964,135,70,104,-0.545922318436179,0.885340139003716,1626.3,33106,42181,34495,1655.3,2109.05,1724.75,"1429"
"1575","eat",4.54743447758643e-14,1.81898799408303e-13,0,-94.8,-40.9499999999998,-135.5,-0.482349500148369,-0.958471535106403,0.494144423414565,-0.255063502401649,-0.379537531186819,-1.1189870735147,77.2,34.0500000000002,82.5,44.5995043635429,21.5344888615058,52.1248501196886,172,75,218,-0.583966474014102,0.919764410330531,1814.6,35516,42739,32570,1775.8,2136.95,1628.5,"63"
"2280","stand",1.81898940354586e-13,-1.81900328133366e-13,-4.5474908560994e-14,-62.1999999999998,-49.8000000000002,-49.95,-1.31213906067617,0.594765497981548,2.29013975801194,-0.24201519511122,0.88799435663493,1.08805234335934,63.8000000000002,85.1999999999998,89.05,37.3018977928385,31.2655855871158,28.830676279561,126,135,139,-0.67028724804611,0.934482234592726,1494.2,46184,46856,34619,2309.2,2342.8,1730.95,"1871"
