"","dog","behaviour","index","mean.X","mean.Y","mean.Z","min.X","min.Y","min.Z","kurt.X","kurt.Y","kurt.Z","skew.X","skew.Y","skew.Z","max.X","max.Y","max.Z","sd.X","sd.Y","sd.Z","range.X","range.Y","range.Z","pitch","roll","odba"
"1","belle","forage",1,2311.1,2026.75,1612.65,2104,1781,1468,0.0099262391605377,-0.28499699529418,-0.645508750955485,0.57021017262836,-0.0840088710772484,-0.175022608489388,2615,2264,1730,121.813446669379,117.280982888823,69.131663093732,511,483,262,0.144810049568925,0.197641501700618,4578.3
"2","belle","forage",2,2247.9,2110.3,1604.9,2139,1827,1470,-0.979357837116731,1.6580023544596,-1.23677410949632,0.428771736442996,-1.16901084629695,0.320676991068142,2384,2236,1792,72.0262379093093,93.8094934035547,103.301755220223,245,409,322,0.0284194468272507,0.530398582731511,4280.8
"3","belle","forage",3,2296.05,2099.05,1595.7,2172,1879,1375,-0.59555375781398,-0.460975273025693,-0.438290332957619,0.645871575059287,-0.316660861022339,-0.765565948619525,2509,2277,1730,95.242888945773,97.1593780179871,101.381042554679,337,398,355,0.122819582442556,0.076632512802323,4645.2
"4","belle","forage",4,2211,2132.2,1627.15,1879,2006,1288,-0.483271313687648,-1.17718240097702,0.879717688607589,-0.952493006375401,0.324039157697439,-0.890288362700567,2366,2291,1808,146.872662355417,85.9348590503295,121.960422829876,487,285,520,-0.273368194900203,-0.065567420291585,5506.8
"5","belle","forage",5,2162.95,2170.8,1570.1,1998,2021,1449,0.186863819868376,1.43122386705643,-1.12094001314456,0.761543623836921,1.0743326263661,0.276119239806017,2423,2473,1740,102.20849434264,103.836713920919,85.4356636983581,425,452,291,0.100085605997416,-0.110343956372321,4316.5
"6","belle","forage",6,2235.3,2134.1,1583.1,2070,1949,1309,-0.252865937768298,-1.12648239027072,0.231944942273261,-0.192538549648913,0.0678173801082042,-0.490945869888659,2419,2314,1741,83.1834371165698,103.986284520705,104.883845527477,349,365,432,-0.0258857223722231,-0.474759516014579,4543.2
"7","belle","forage",7,2187.9,2131.3,1595.4,1893,1830,1119,-0.494739645692906,-0.3651884026054,-0.40395803131817,0.527293567520448,-0.156497171276859,-0.0114503527216762,2597,2383,2036,186.191723486134,137.7114068585,234.328918627777,704,553,917,-0.0334904591052364,-0.154624084251878,8522.8
"8","belle","forage",8,2305.25,2238,1646.6,2170,2011,1506,2.38750158830908,-0.990902005083858,-0.644182747862613,1.50878575877946,0.253382470314119,0.120410499570238,2705,2471,1813,126.887382724749,129.284671619606,78.8859269685298,535,460,307,-0.0267272933548069,-0.434877091206927,5165.5
"9","belle","forage",9,2183.35,2222.9,1605.1,2078,2059,1515,-1.0148378533721,-0.93388605447231,-0.781156853087828,0.423760777719763,0.223043877220987,0.31073222405769,2332,2369,1720,75.6329606510423,84.9847664367903,52.6616808654922,254,310,205,0.110072450659378,-0.484802033943377,3515.5
"10","belle","forage",10,2176.75,2190.95,1592.4,2083,1981,1504,-1.19593216049466,-0.933151008496088,-0.600503827199824,-0.346317404044448,-0.0114956930183996,0.620479495136913,2259,2381,1721,50.8898449181118,118.127707432075,61.063728574076,176,400,217,-0.0470693778263428,-0.230197599453666,3675.3
"11","belle","forage",11,2211.6,2357.25,1685.9,2095,2247,1580,-0.908874401678331,-1.1673679696538,-0.81343111932294,0.206081387808623,0.0518242123251785,-0.463633884571979,2366,2461,1762,76.403637279083,63.2121532285483,48.2808668652827,271,214,182,0.00497589119840425,-0.477151019522825,3050.9
"12","belle","forage",12,2152.4,2270.55,1604.15,2115,2224,1539,-0.176003129331383,-0.342210728352184,0.335563530580675,0.915579557721765,0.607620240001332,-0.77723947607151,2207,2343,1642,25.4152875668418,29.4162057018701,24.6838430002939,92,119,103,0.129191102140804,-0.17424223271306,1228.1
"13","belle","forage",13,2087.6,2245.8,1587.7,2009,2113,1458,-1.00805145901073,-1.22338546572286,-0.661867007934993,0.550065547661097,-0.0453159090983324,-0.578454296353664,2201,2358,1654,57.8067561158,75.5802814718788,54.3972716034061,192,245,196,-0.032188743959342,0.162268867418625,3108
"14","belle","forage",14,2117.65,2099,1566.6,1935,1950,1403,-1.17178498968304,-0.930657066317099,0.0551299526486089,-0.739433867940602,0.526004147274142,-0.0679157693398629,2233,2315,1706,100.011196741586,110.372097923343,69.0182279508369,298,365,303,-0.226699903954274,-0.391985355822439,4503.8
"15","belle","forage",15,2115.2,2110.4,1549.7,2020,2039,1430,-0.0296590085456301,0.28109886489566,1.728016194242,0.0487612807108557,0.634915390378541,-0.407855969661425,2230,2198,1642,47.676100158421,36.293250061134,43.1595570925033,210,159,212,-0.094600517565972,-0.0692785947852379,1760.4
"16","belle","forage",16,2059.65,2189.75,1583.75,1863,1956,1481,-1.04148783111714,-0.872835205396076,-0.887972795855894,-0.208288206957061,-0.374254597431777,0.232313643213649,2217,2353,1713,102.97024353002,106.455266117795,63.3776276316061,354,397,232,-0.0390890018405997,0.328300815057949,4425.5
"17","belle","forage",17,2228.45,2156.05,1582.35,2050,2009,1314,-0.971217964428947,3.69690045917073,0.741711573332275,-0.353016224943448,1.6829057891183,0.455899986331584,2364,2520,1938,93.6698991138562,108.783452205215,132.401413174204,314,511,624,-0.0807150217284332,-0.572203550922204,4875.6
"18","belle","forage",18,2142.05,2165.85,1582.85,1895,2061,1267,-1.15719724922062,-0.858946786269271,1.74420352455313,-0.355625903116404,0.536361817420651,-0.804294645096917,2355,2335,1791,137.184652739905,79.9764932569828,106.975784274071,460,274,524,0.04186590234172,-0.0010121054288775,5014.9
"19","belle","lie",1,1653.45,2120.45,1717.4,1584,1957,1615,-0.126060750405277,1.67015034879961,-0.00391163877189094,0.414026301935943,-0.189913745102816,0.0785904990896704,1746,2263,1834,39.534761519719,60.3432942247499,49.0406920188144,162,306,219,0.0302288957691086,-0.0421067128059723,2127.9
"20","belle","lie",2,1657.05,2105.45,1722.05,1566,2057,1639,0.0431536536919088,0.0181113132066066,-0.309618689252806,-0.277448245371671,0.250729898868638,-0.35940318891435,1735,2158,1774,38.370047254542,23.7608147122415,34.5474121203098,169,101,135,-0.115093774026042,0.00288823367584888,1454
"21","belle","lie",3,1663.45,2124.75,1713.55,1575,2028,1661,-0.728284935224883,-0.179527291205844,-0.845478072333714,-0.249453487685508,-0.0610299407062585,0.244853222183626,1743,2215,1775,43.6920744348566,43.4024920458431,32.2987289956871,168,187,114,-0.146983069929233,0.128351901929737,1848.1
"22","belle","lie",4,1746.45,2126.75,1656.25,1630,2009,1546,-1.35749025875183,-0.673557575369945,-1.0580541569136,0.0994049675861276,0.257212987447246,0.187145167918055,1873,2305,1786,71.9045236846458,77.3085921554172,63.5443276693315,243,296,240,0.0176161970265688,0.0451731302625113,3557.5
"23","belle","lie",5,1632.75,2112.1,1738.6,1591,2057,1644,0.92821884291318,-0.0280956270651256,-0.159548645096997,1.14192146802291,0.502194368612388,-0.389371725418714,1721,2202,1818,30.8832691888257,35.8210464450866,42.0117777972346,130,145,174,0.0751131345352203,0.0241271972301435,1662.8
"24","belle","lie",6,1653.25,2113.1,1715.95,1593,2008,1645,-0.968730075999789,-0.667325187220419,0.979807249118508,-0.109962285379454,-0.028621554949341,0.755680695133251,1715,2215,1846,33.554158891967,52.6066835857834,45.8997477346582,122,207,201,-0.0665234364396408,0.119080225556068,2039.4
"25","belle","lie",7,1658.5,2141.55,1726.05,1583,2088,1623,-0.313154340724022,-0.942220984366799,-0.167422104364423,0.177624496082534,-0.65085170428763,-0.868800821266581,1746,2174,1780,37.5015789141288,27.4542202680447,42.5842508570085,163,86,157,-0.0859752329752303,0.809060337710836,1691.5
"26","belle","lie",8,2004.95,2207.45,1605.6,1713,1986,1451,-0.712394330932184,-0.289479764396429,1.2584811020182,0.12829469421629,-0.939609041329044,1.12241576696082,2347,2324,1910,167.288114215848,97.2773977101729,104.472811874921,634,338,459,0.0328615170581656,0.788768572151206,5642
"27","belle","lie",9,1831.45,2183.95,1628.1,1647,1958,1414,-1.14915313586216,0.383420141207075,0.0930992680475806,0.287887674487821,-1.08655911956214,-0.749660714863553,2112,2285,1747,131.821040968827,91.7751686402557,84.0713356244815,465,327,333,0.0950163627943368,0.292869692407592,4955.9
"28","belle","lie",10,1694.7,2151.45,1692.15,1636,2055,1560,-1.29438294088947,0.624323448819227,0.637988213869082,0.287116107673414,0.714483270001627,-0.770236105068042,1774,2297,1773,44.3385302322697,53.8745863337398,48.9922389127524,138,242,213,-0.0231014004277702,-0.109830236890011,2229.5
"29","belle","lie",11,1677.65,2149.65,1709.5,1630,2113,1649,-1.27208471164328,-0.435160091360695,-1.08757384933704,0.381263918669128,0.915046447672714,-0.376516580702146,1737,2222,1761,34.8640593101111,30.3926497346766,31.7316047000795,107,109,112,0.0148155405905894,0.00744561530839422,1599.8
"30","belle","lie",12,1726.3,2142.25,1659.05,1662,2050,1592,-1.10741005327459,0.528170960635697,-1.26248878556983,0.0647111325501981,-0.486152560063188,-0.0696181344840392,1809,2218,1726,41.1775360322131,36.6130189672299,39.526773071852,147,168,134,-0.0276106348777971,0.101077622715211,1874
"31","belle","lie",13,1702.75,2162.3,1690.4,1635,2111,1617,-0.835971994422704,-1.22233121096148,-0.58551412779651,0.0509659140770364,0.0840908423546172,0.00410275016755538,1761,2205,1766,33.5980497554311,27.3786316985384,36.9471884835924,126,94,149,-0.0533264457819742,0.0359316761781432,1548.8
"32","belle","lie",14,1693,2169,1698.45,1643,2135,1598,-0.689942911302369,-1.32328339426423,-0.887542835089949,0.282530685524407,-0.196238904787831,-0.460790650908973,1755,2205,1762,29.3329346065405,20.4630604286178,46.9002019970961,112,70,164,0.0278522474235136,0.305624203388613,1611
"33","belle","lie",15,1709.1,2211.25,1701.65,1624,2082,1610,-0.607180814048196,-0.66354746060595,3.1557222019028,-0.144030628640631,0.0622169367907308,1.51061124122249,1795,2340,1884,43.8549043047519,64.6918810492028,55.8958382783737,171,258,274,-0.070745291013002,-0.301281786023926,2507.3
"34","belle","lie",16,1690.95,2190.3,1713.4,1649,2143,1663,-0.839727319558499,-0.197867503466896,-1.2378536573379,0.73153060998722,0.45065792537545,-0.381727242738662,1762,2253,1756,34.5123547672272,26.3740302889833,29.6655036239596,113,110,93,0.0191005061541129,0.141927211455316,1466.4
"35","belle","lie",17,1675.6,2179.25,1712.45,1624,2129,1665,-1.28077793423222,-0.837959364871518,-1.28630340768556,0.0250342401084234,-0.21148491700436,-0.183864636499412,1730,2226,1755,31.4080110464629,25.0197290573912,26.3947263472719,106,97,90,-0.188356749699537,0.534752565797864,1372.3
"36","belle","lie",18,1673.1,2177.85,1719.05,1625,2131,1650,-0.845645751564568,-0.948575834813644,0.312283631346265,0.272778009314121,-0.0859374189735986,-0.779263595698727,1729,2218,1762,27.5010047663334,23.0543408402615,26.392732253207,104,87,112,-0.00107899927853688,0.562223063805503,1206.3
"37","belle","lie",19,1676.55,2172,1715.5,1642,2144,1677,-0.539562730958499,-1.33532659972488,-0.923140283092624,0.741583428093692,-0.0724750276097543,-0.496214772457668,1734,2201,1744,26.9570320871451,16.7583443473142,20.101060459064,92,57,67,0.0670435118127849,0.438320641934777,1020.1
"38","belle","lie",20,1672.75,2169.7,1721.1,1624,2131,1667,-0.200325733990151,0.511410729439176,-0.877592131359064,0.676356340344825,0.584764258949652,-0.26927671971634,1745,2217,1774,30.3538344061816,18.663502238044,28.1553958556699,121,86,107,0.0848761816487725,0.152199694573436,1175.1
"39","belle","lie",21,1662.35,2173.15,1737.05,1628,2139,1666,-0.551289863738323,-0.810184505570869,0.247206041105264,0.386355289736322,0.0364228063682739,-0.660964666278771,1718,2209,1784,23.3334523806487,17.7594304081255,28.3594874127829,90,70,118,-0.0741806725114992,0.428592720306683,1101.8
"40","belle","lie",22,1689.95,2178.3,1704.6,1647,2150,1659,-0.855665221668894,-0.689316795046011,-1.20534013907589,0.186644255725001,-0.104144381351205,-0.199848939952409,1739,2204,1739,23.941760476975,13.5650479658492,23.7495706332379,92,54,80,-0.0140000231769525,0.598626924779123,1003
"41","belle","lie",23,1694.5,2180.4,1701.85,1651,2143,1652,-1.43399388744848,-0.780754189571329,3.09519670465718,0.0241265443837847,-0.241677182269333,1.13165993213191,1733,2211,1779,25.407209917452,17.2882680025015,24.2818429024002,82,68,127,0.0658721325799118,0.883604803849808,1028.6
"42","belle","lie",24,1678.25,2173.2,1709.7,1625,2094,1650,-0.43531523870701,3.80080677706511,-0.877639527305254,-0.176283328653285,-1.40645298398984,-0.560439301996006,1729,2217,1748,27.1620381376191,23.87379095864,29.3097792194813,104,123,98,0.0557631196343876,-0.265466937305568,1154
"43","belle","lie",25,1672.75,2189.4,1727.5,1638,2156,1656,-1.38399106549472,-0.0766104666530132,-0.835756030176297,0.291529760516419,0.644730385993356,-0.750598290071407,1721,2252,1767,26.9851323587833,24.5000537056339,34.844768541875,83,96,111,0.0718354653538199,0.037734147405217,1422.7
"44","belle","lie",26,1653.05,2152,1704.65,1435,2012,1556,0.537658277800878,-0.718375090244422,-0.451511881339329,-1.07817882903887,0.217143907065307,-0.0545730822838989,1777,2353,1846,89.8094327480489,91.3431932185887,74.8445933778435,342,341,290,-0.135571218083539,-0.105553119424251,3804.4
"45","belle","run",1,2220.15,2377.4,1624,1101,1954,513,1.15628016194579,1.00922524005546,-0.182688158284329,-0.366405078344502,0.979632794982117,-0.61219717457238,3136,3232,2437,413.356132294252,298.057465317645,469.047410913023,2035,1278,1924,0.0747154154921124,0.0326281564425305,17508.6
"46","belle","run",2,1610.2,2038.6,1895.35,0,942,0,0.593934798880714,-0.83296083881646,-0.916206639502247,0.478195379112731,-0.0490366576328749,0.011012799402079,4095,3232,3914,924.713304076913,620.304882592763,1045.04179090448,4095,2290,3914,-0.0645116053154035,0.123345327831237,40077.7
"47","belle","run",3,2188,2217.8,1605.8,248,930,0,0.625265359777194,2.09340653124259,-1.13779075664903,-1.12724900135932,0.643549912840291,-0.293853354159428,3118,3861,3043,705.32209887249,567.074078517363,905.346609984555,2870,2931,3043,-0.144655989410752,0.193785651605523,32819.6
"48","belle","run",4,2039.45,2250.75,1490.85,1290,1875,0,-0.524269968660438,-1.14370745314598,-0.650138234056049,0.0970075599053222,-0.211082245435759,-0.74096180192115,2854,2537,2440,383.818827189682,186.072106849384,734.343622062014,1564,662,2440,-0.0758053704832328,0.866800008017824,21141.2
"49","belle","run",5,1682.45,1991.4,1792.65,0,113,263,-0.175165031919881,1.4419278996915,-0.819224595804887,-0.784192862614835,0.192740357771558,-0.0476112233746479,2496,4039,3026,671.564197268311,773.657097985379,719.661929037005,2496,3926,2763,-0.1258162333044,0.517173265301504,32054.1
"50","belle","run",6,2154.2,2087.15,1782.65,709,1210,0,-0.469767548710051,0.187261230173265,-0.698722201400635,0.524985597649315,0.708420667502987,-0.60509511341138,4031,3319,2872,905.566911707217,499.252628277614,803.161403127469,3322,2109,2872,0.0388123633195054,-0.171251468958261,35117.4
"51","belle","run",7,2239.3,2234.35,1673,930,1016,677,1.29893452382396,-0.843333489419321,1.59884115568104,0.410625552161546,-0.351313607299584,1.16559764699387,3813,2977,3772,589.904729150127,550.301474791677,708.702223860814,2883,1961,3095,0.0421938911537771,0.430917744583736,26639
"52","belle","run",8,2002.65,2116.9,1799.4,1106,1489,0,-0.573671805365069,-0.700615521690696,-0.093200485417877,0.574033534194084,0.10354879078066,-0.642093261061363,3341,2939,3041,637.874866048853,377.535902789042,722.877466503796,2235,1450,3041,0.0595744503656042,0.180553248510166,26730.5
"53","belle","run",9,2138.95,2075.75,1631.55,1510,378,620,0.861811018161075,3.56439696408575,-0.918931805166049,0.89723838389465,-1.27568791831178,0.138239514088991,3339,3140,2815,428.315239907293,522.891341736654,586.550350062034,1829,2762,2195,-0.108072862729279,0.540342439641367,22027.9
"54","belle","run",10,2041.6,2167.75,1884.35,1052,1403,0,1.46473104780304,0.634833518608228,-0.354262355893122,1.23486203238272,0.597918839017569,-0.612589595509454,4095,3264,3089,718.106384143303,408.447493887719,791.835926319668,3043,1861,3089,0.134828661927505,0.285156875319128,28154.8
"55","belle","run",11,2182.95,2175.85,1778.1,1077,1481,506,-1.26908719498717,-0.813219557962967,-0.322122632911146,-0.0647716929376669,0.207909988496755,0.33962325616991,3286,2965,3870,710.874885357177,404.529652156284,856.387817952148,2209,1484,3364,0.0636550265195311,-0.0428694443452299,31189.5
"56","belle","run",12,2026.7,2205.8,1729.4,1127,1566,0,-0.196428890178636,1.46751660526211,-0.859853473970482,0.768495959596922,1.21645918004625,-0.44076294513701,3422,3353,2943,599.009542143485,398.247555911488,789.39486483735,2295,1787,2943,0.117927972391821,0.346520740714849,27833.2
"57","belle","run",13,1901.95,2241.05,1567.6,818,1667,0,0.850396097886483,-0.503137943723833,-1.24891489504428,-0.603587319890904,0.343056872879443,-0.365405065709094,2602,2950,2613,398.385620513064,311.591918515565,816.420647512182,1784,1283,2613,-0.0409623687561689,0.641875150299662,24546.1
