"","dog","sample","burst.timestamp","sample.timestamp","behaviour","X","Y","Z","index"
"1","kafka",111605,"38:46.0","38:53.1","eat",1692,2399,1745,1
"2","kafka",111606,"38:46.0","38:53.2","eat",1664,2352,1834,1
"3","kafka",111607,"38:46.0","38:53.3","eat",1691,2409,1853,1
"4","kafka",111608,"38:46.0","38:53.4","eat",1708,2309,1752,1
"5","kafka",111609,"38:46.0","38:53.5","eat",1694,2298,1747,1
"6","kafka",111610,"38:46.0","38:53.6","eat",1727,2318,1795,1
"7","kafka",111611,"38:46.0","38:53.7","eat",1711,2337,1770,1
"8","kafka",111612,"38:46.0","38:53.8","eat",1676,2323,1737,1
"9","kafka",111613,"38:46.0","38:53.9","eat",1765,2349,1769,1
"10","kafka",111614,"38:46.0","38:54.0","eat",1639,2302,1765,1
"11","kafka",111615,"38:46.0","38:54.1","eat",1756,2356,1717,1
"12","kafka",111616,"38:46.0","38:54.2","eat",1690,2343,1824,1
"13","kafka",111617,"38:46.0","38:54.3","eat",1786,2351,1786,1
"14","kafka",111618,"38:46.0","38:54.4","eat",1769,2314,1743,1
"15","kafka",111619,"38:46.0","38:54.5","eat",1750,2410,1696,1
"16","kafka",111620,"38:46.0","38:54.6","eat",1793,2328,1758,1
"17","kafka",111621,"38:46.0","38:54.7","eat",1697,2310,1788,1
"18","kafka",111622,"38:46.0","38:54.8","eat",1766,2329,1723,1
"19","kafka",111623,"38:46.0","38:54.9","eat",1753,2320,1773,1
"20","kafka",111624,"38:46.0","38:55.0","eat",1740,2339,1761,1
"21","simba",86663,"51:04.0","51:19.0","eat",2084,2120,1638,2
"22","simba",86664,"51:04.0","51:19.1","eat",2231,2089,1585,2
"23","simba",86665,"51:04.0","51:19.2","eat",2347,2240,1550,2
"24","simba",86666,"51:04.0","51:19.3","eat",2236,2104,1607,2
"25","simba",86667,"51:04.0","51:19.4","eat",2306,2147,1639,2
"26","simba",86668,"51:04.0","51:19.5","eat",2167,2159,1559,2
"27","simba",86669,"51:04.0","51:19.6","eat",2216,2128,1627,2
"28","simba",86670,"51:04.0","51:19.7","eat",2246,2134,1575,2
"29","simba",86671,"51:04.0","51:19.8","eat",2057,2451,1510,2
"30","simba",86672,"51:04.0","51:19.9","eat",2266,2071,1619,2
"31","simba",86673,"51:04.0","51:20.0","eat",2195,2031,1657,2
"32","simba",86674,"51:04.0","51:20.1","eat",2430,2145,1663,2
"33","simba",86675,"51:04.0","51:20.2","eat",2214,2029,1663,2
"34","simba",86676,"51:04.0","51:20.3","eat",2232,2026,1670,2
"35","simba",86677,"51:04.0","51:20.4","eat",2140,2397,1559,2
"36","simba",86678,"51:04.0","51:20.5","eat",2181,2105,1624,2
"37","simba",86679,"51:04.0","51:20.6","eat",2233,2097,1652,2
"38","simba",86680,"51:04.0","51:20.7","eat",2410,2198,1663,2
"39","simba",86681,"51:04.0","51:20.8","eat",2198,2103,1587,2
"40","simba",86682,"51:04.0","51:20.9","eat",2293,2143,1647,2
"41","simba",86683,"51:04.0","51:21.0","eat",2233,2133,1576,3
"42","simba",86684,"51:04.0","51:21.1","eat",2221,2136,1617,3
"43","simba",86685,"51:04.0","51:21.2","eat",2250,2132,1582,3
"44","simba",86686,"51:04.0","51:21.3","eat",2026,2339,1557,3
"45","simba",86687,"51:04.0","51:21.4","eat",2186,2024,1677,3
"46","simba",86688,"51:04.0","51:21.5","eat",2430,2112,1449,3
"47","simba",86689,"51:04.0","51:21.6","eat",2273,2083,1587,3
"48","simba",86690,"51:04.0","51:21.7","eat",2375,2139,1724,3
"49","simba",86691,"51:04.0","51:21.8","eat",2177,2138,1560,3
"50","simba",86692,"51:04.0","51:21.9","eat",2066,2203,1585,3
"51","simba",86693,"51:04.0","51:22.0","eat",2144,2110,1596,3
"52","simba",86694,"51:25.0","51:25.0","eat",2161,2118,1591,3
"53","simba",86695,"51:25.0","51:25.1","eat",2259,2087,1632,3
"54","simba",86696,"51:25.0","51:25.2","eat",2240,2305,1477,3
"55","simba",86697,"51:25.0","51:25.3","eat",2142,2094,1614,3
"56","simba",86698,"51:25.0","51:25.4","eat",2240,2089,1671,3
"57","simba",86699,"51:25.0","51:25.5","eat",2373,2255,1588,3
"58","simba",86700,"51:25.0","51:25.6","eat",2287,2103,1603,3
"59","simba",86701,"51:25.0","51:25.7","eat",2318,2129,1649,3
"60","simba",86702,"51:25.0","51:25.8","eat",2167,2124,1552,3
"61","simba",86703,"51:25.0","51:25.9","eat",2210,2221,1623,4
"62","simba",86704,"51:25.0","51:26.0","eat",2227,2136,1601,4
"63","simba",86705,"51:25.0","51:26.1","eat",2204,2215,1539,4
"64","simba",86706,"51:25.0","51:26.2","eat",2196,2083,1584,4
"65","simba",86707,"51:25.0","51:26.3","eat",2212,2216,1609,4
"66","simba",86708,"51:25.0","51:26.4","eat",2205,2122,1635,4
"67","simba",86709,"51:25.0","51:26.5","eat",2441,2110,1573,4
"68","simba",86710,"51:25.0","51:26.6","eat",2341,2130,1615,4
"69","simba",86711,"51:25.0","51:26.7","eat",2321,2082,1488,4
"70","simba",86712,"51:25.0","51:26.8","eat",2369,2094,1672,4
"71","simba",86713,"51:25.0","51:26.9","eat",2250,2091,1609,4
"72","simba",86714,"51:25.0","51:27.0","eat",2252,2118,1593,4
"73","simba",86715,"51:25.0","51:27.1","eat",2291,2195,1668,4
"74","simba",86716,"51:25.0","51:27.2","eat",2383,2121,1557,4
"75","simba",86717,"51:25.0","51:27.3","eat",2291,2148,1502,4
"76","simba",86718,"51:25.0","51:27.4","eat",2395,2150,1624,4
"77","simba",86719,"51:25.0","51:27.5","eat",2374,2102,1595,4
"78","simba",86720,"51:25.0","51:27.6","eat",2355,2061,1574,4
"79","simba",86721,"51:25.0","51:27.7","eat",2316,2094,1640,4
"80","simba",86722,"51:25.0","51:27.8","eat",2381,2199,1584,4
"81","simba",86723,"51:25.0","51:27.9","eat",2071,2104,1693,5
"82","simba",86724,"51:25.0","51:28.0","eat",2257,2150,1652,5
"83","simba",86725,"51:25.0","51:28.1","eat",2359,2085,1590,5
"84","simba",86726,"51:25.0","51:28.2","eat",2238,2171,1509,5
"85","simba",86727,"51:25.0","51:28.3","eat",2411,2155,1606,5
"86","simba",86728,"51:25.0","51:28.4","eat",2331,2083,1588,5
"87","simba",86729,"51:25.0","51:28.5","eat",2355,2048,1567,5
"88","simba",86730,"51:25.0","51:28.6","eat",2327,2126,1678,5
"89","simba",86731,"51:25.0","51:28.7","eat",2289,2097,1595,5
"90","simba",86732,"51:25.0","51:28.8","eat",2107,2125,1632,5
"91","simba",86733,"51:25.0","51:28.9","eat",2223,2098,1636,5
"92","simba",86734,"51:25.0","51:29.0","eat",2325,2177,1553,5
"93","simba",86735,"51:25.0","51:29.1","eat",2241,2123,1546,5
"94","simba",86736,"51:25.0","51:29.2","eat",2390,2204,1639,5
"95","simba",86737,"51:25.0","51:29.3","eat",2394,2112,1595,5
"96","simba",86738,"51:25.0","51:29.4","eat",2243,2103,1502,5
"97","simba",86739,"51:25.0","51:29.5","eat",2383,2154,1714,5
"98","simba",86740,"51:25.0","51:29.6","eat",2305,2142,1622,5
"99","simba",86741,"51:25.0","51:29.7","eat",2343,2108,1504,5
"100","simba",86742,"51:25.0","51:29.8","eat",2293,2109,1643,5
"101","simba",86743,"51:25.0","51:29.9","eat",2208,2136,1676,6
"102","simba",86744,"51:25.0","51:30.0","eat",2225,2124,1640,6
"103","simba",86745,"51:25.0","51:30.1","eat",2434,2203,1542,6
"104","simba",86746,"51:25.0","51:30.2","eat",2278,2143,1641,6
"105","simba",86747,"51:25.0","51:30.3","eat",2181,2111,1565,6
