type,tag-serial-number,burst-start-timestamp,annotation,eobs_acceleration_sampling_frequency_per_axis,sample-timestamp,acceleration-x,acceleration-y,acceleration-z
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:39.000,2412.0,2141.0,1710.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:39.100,2409.0,2151.0,1710.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:39.200,2414.0,2128.0,1712.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:39.300,2428.0,2136.0,1710.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:39.400,2415.0,2126.0,1712.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:39.500,2426.0,2129.0,1703.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:39.600,2411.0,2126.0,1708.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:39.700,2428.0,2118.0,1711.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:39.800,2424.0,2129.0,1717.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:39.900,2428.0,2129.0,1710.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:40.000,2416.0,2119.0,1713.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:40.100,2416.0,2139.0,1725.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:40.200,2447.0,2149.0,1706.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:40.300,2440.0,2095.0,1711.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:40.400,2412.0,2038.0,1714.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:40.500,2451.0,2119.0,1707.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:40.600,2398.0,2148.0,1720.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:40.700,2433.0,2113.0,1674.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:40.800,2371.0,2119.0,1698.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:40.900,2323.0,2220.0,1717.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:41.000,2378.0,2200.0,1702.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:41.100,2342.0,2181.0,1693.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:41.200,2390.0,2224.0,1660.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:41.300,2412.0,2237.0,1670.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:41.400,2390.0,2183.0,1681.0
acc,0,2020-07-21 06:20:39.000,"keep",10.0,2020-07-21 06:20:41.500,2348.0,2156.0,1711.0
acc,0,2020-07-21 06:21:10.000,"keep",10.0,2020-07-21 06:21:10.000,2304.0,2278.0,1672.0
acc,0,2020-07-21 06:21:10.000,"keep",10.0,2020-07-21 06:21:10.100,2305.0,2276.0,1673.0
acc,0,2020-07-21 06:21:10.000,"keep",10.0,2020-07-21 06:21:10.200,2311.0,2274.0,1675.0
acc,0,2020-07-21 06:21:10.000,"keep",10.0,2020-07-21 06:21:10.300,2312.0,2276.0,1670.0
acc,0,2020-07-21 06:21:10.000,"keep",10.0,2020-07-21 06:21:10.400,2307.0,2272.0,1672.0
