dog,sample,burst-timestamp,sample-timestamp,behaviour,X,Y,Z
belle,117834,50:46.0,50:46.0,forage,2323,2061,1622
belle,117835,50:46.0,50:46.1,forage,2319,2078,1657
belle,117836,50:46.0,50:46.2,forage,2288,2025,1633
belle,117837,50:46.0,50:46.3,forage,2331,2038,1611
belle,117838,50:46.0,50:46.4,forage,2337,1961,1566
belle,117839,50:46.0,50:46.5,forage,2367,1844,1707
belle,117840,50:46.0,50:46.6,forage,2244,2045,1658
belle,117841,50:46.0,50:46.7,forage,2358,2055,1537
belle,117842,50:46.0,50:46.8,forage,2381,1901,1730
belle,117843,50:46.0,50:46.9,forage,2224,2022,1611
belle,117844,50:46.0,50:47.0,forage,2263,2224,1468
belle,117845,50:46.0,50:47.1,forage,2615,1897,1598
belle,117846,50:46.0,50:47.2,forage,2205,2140,1601
belle,117847,50:46.0,50:47.3,forage,2216,2083,1623
belle,117848,50:46.0,50:47.4,forage,2153,2018,1509
belle,117849,50:46.0,50:47.5,forage,2185,2054,1626
belle,117850,50:46.0,50:47.6,forage,2476,1940,1723
belle,117851,50:46.0,50:47.7,forage,2104,2104,1529
belle,117852,50:46.0,50:47.8,forage,2486,1781,1577
belle,117853,50:46.0,50:47.9,forage,2347,2264,1667
belle,117854,50:46.0,50:48.0,forage,2139,2192,1563
belle,117855,50:46.0,50:48.1,forage,2288,2076,1595
belle,117856,50:46.0,50:48.2,forage,2241,2189,1684
belle,117857,50:46.0,50:48.3,forage,2180,2229,1470
belle,117858,50:46.0,50:48.4,forage,2372,1827,1792
belle,117859,50:46.0,50:48.5,forage,2199,2046,1535
belle,117860,50:46.0,50:48.6,forage,2226,2051,1662
belle,117861,50:46.0,50:48.7,forage,2334,2129,1483
belle,117862,50:46.0,50:48.8,forage,2273,2157,1623
belle,117863,50:46.0,50:48.9,forage,2207,2154,1527
belle,117864,50:46.0,50:49.0,forage,2384,2147,1535
belle,117865,50:46.0,50:49.1,forage,2160,2105,1754
belle,117866,50:46.0,50:49.2,forage,2255,2138,1470
belle,117867,50:46.0,50:49.3,forage,2290,2017,1678
belle,117868,50:46.0,50:49.4,forage,2160,2081,1592
belle,117869,50:46.0,50:49.5,forage,2257,2064,1765
belle,117870,50:46.0,50:49.6,forage,2228,2020,1474
belle,117871,50:46.0,50:49.7,forage,2211,2154,1577
belle,117872,50:46.0,50:49.8,forage,2358,2194,1583
belle,117873,50:46.0,50:49.9,forage,2196,2236,1736
belle,117874,50:46.0,50:50.0,forage,2366,2060,1448
belle,117875,50:46.0,50:50.1,forage,2509,1879,1727
belle,117876,50:46.0,50:50.2,forage,2177,1978,1545
belle,117877,50:46.0,50:50.3,forage,2302,1972,1674
belle,117878,50:46.0,50:50.4,forage,2283,2109,1730
belle,117879,50:46.0,50:50.5,forage,2218,2057,1375
belle,117880,50:46.0,50:50.6,forage,2300,2107,1649
belle,117881,50:46.0,50:50.7,forage,2186,2208,1680
belle,117882,50:46.0,50:50.8,forage,2359,2117,1518
belle,117883,50:46.0,50:50.9,forage,2172,2170,1612
belle,117993,50:46.0,51:02.0,forage,2396,2277,1393
belle,117994,50:46.0,51:02.1,forage,2475,2141,1533
belle,117995,50:46.0,51:02.2,forage,2374,2229,1685
belle,117996,50:46.0,51:02.3,forage,2242,2098,1621
belle,117997,50:46.0,51:02.4,forage,2236,2133,1632
belle,117998,50:46.0,51:02.5,forage,2263,2185,1577
belle,117999,50:46.0,51:02.6,forage,2245,2160,1636
belle,118000,50:46.0,51:02.7,forage,2236,1987,1640
belle,118001,50:46.0,51:02.8,forage,2355,2037,1572
belle,118002,50:46.0,51:02.9,forage,2227,2077,1667
belle,118003,50:46.0,51:03.0,forage,2317,2120,1537
belle,118004,50:46.0,51:03.1,forage,2266,2272,1733
belle,118005,50:46.0,51:03.2,forage,2236,2122,1664
belle,118006,50:46.0,51:03.3,forage,2330,2175,1629
belle,118007,50:46.0,51:03.4,forage,2366,2053,1651
belle,118008,50:46.0,51:03.5,forage,2269,2072,1599
belle,118009,50:46.0,51:03.6,forage,2362,2146,1595
belle,118010,50:46.0,51:03.7,forage,2303,2063,1640
belle,118011,50:46.0,51:03.8,forage,2315,2006,1584
belle,118012,50:46.0,51:03.9,forage,2280,2090,1636
belle,118014,51:07.0,51:07.0,forage,1939,2291,1620
belle,118015,51:07.0,51:07.1,forage,1879,2219,1793
belle,118016,51:07.0,51:07.2,forage,2048,2018,1808
belle,118017,51:07.0,51:07.3,forage,1978,2258,1674
belle,118018,51:07.0,51:07.4,forage,2284,2205,1495
belle,118019,51:07.0,51:07.5,forage,2182,2109,1673
belle,118020,51:07.0,51:07.6,forage,2168,2192,1288
belle,118021,51:07.0,51:07.7,forage,2272,2054,1447
belle,118022,51:07.0,51:07.8,forage,2335,2141,1699
belle,118023,51:07.0,51:07.9,forage,2091,2038,1778
belle,118044,51:07.0,51:10.0,forage,2073,2197,1556
belle,118045,51:07.0,51:10.1,forage,2246,2176,1539
belle,118046,51:07.0,51:10.2,forage,2174,2126,1740
belle,118047,51:07.0,51:10.3,forage,2147,2473,1450
belle,118048,51:07.0,51:10.4,forage,2085,2172,1561
belle,118049,51:07.0,51:10.5,forage,2344,2143,1474
belle,118050,51:07.0,51:10.6,forage,2046,2155,1610
belle,118051,51:07.0,51:10.7,forage,1998,2134,1668
belle,118052,51:07.0,51:10.8,forage,2073,2230,1542
belle,118053,51:07.0,51:10.9,forage,2224,2133,1463
belle,118054,51:07.0,51:11.0,forage,2122,2216,1639
belle,118055,51:07.0,51:11.1,forage,2074,2326,1576
belle,118056,51:07.0,51:11.2,forage,2109,2035,1667
belle,118057,51:07.0,51:11.3,forage,2145,2169,1666
belle,118058,51:07.0,51:11.4,forage,2423,2281,1549
belle,118059,51:07.0,51:11.5,forage,2211,2034,1501
belle,118060,51:07.0,51:11.6,forage,2161,2157,1508
belle,118061,51:07.0,51:11.7,forage,2180,2021,1689
belle,118062,51:07.0,51:11.8,forage,2169,2125,1449
belle,118063,51:07.0,51:11.9,forage,2255,2113,1555
belle,118064,51:07.0,51:12.0,forage,2104,2084,1567
belle,118065,51:07.0,51:12.1,forage,2190,2236,1737
belle,118066,51:07.0,51:12.2,forage,2280,2314,1474
belle,118067,51:07.0,51:12.3,forage,2254,2043,1574
belle,118068,51:07.0,51:12.4,forage,2244,2078,1554
belle,118069,51:07.0,51:12.5,forage,2205,2074,1738
belle,118070,51:07.0,51:12.6,forage,2205,2127,1309
belle,118071,51:07.0,51:12.7,forage,2308,2237,1601
belle,118072,51:07.0,51:12.8,forage,2224,2007,1650
belle,118073,51:07.0,51:12.9,forage,2305,2171,1741
belle,118074,51:07.0,51:13.0,forage,2419,1949,1509
belle,118075,51:07.0,51:13.1,forage,2239,1984,1563
belle,118076,51:07.0,51:13.2,forage,2276,2136,1641
belle,118077,51:07.0,51:13.3,forage,2146,2048,1489
belle,118078,51:07.0,51:13.4,forage,2262,2159,1638
belle,118079,51:07.0,51:13.5,forage,2277,2226,1557
belle,118080,51:07.0,51:13.6,forage,2294,2123,1668
belle,118081,51:07.0,51:13.7,forage,2070,2123,1503
belle,118082,51:07.0,51:13.8,forage,2105,2280,1637
belle,118083,51:07.0,51:13.9,forage,2299,2283,1512
belle,118084,51:07.0,51:14.0,forage,2257,2099,1449
belle,118085,51:07.0,51:14.1,forage,2057,2079,1515
belle,118086,51:07.0,51:14.2,forage,2208,2156,1634
belle,118087,51:07.0,51:14.3,forage,2029,2076,1796
belle,118088,51:07.0,51:14.4,forage,2014,2317,1615
belle,118089,51:07.0,51:14.5,forage,2259,2020,1541
belle,118090,51:07.0,51:14.6,forage,2262,2216,1597
belle,118091,51:07.0,51:14.7,forage,2545,2233,1446
belle,118092,51:07.0,51:14.8,forage,2318,2059,1572
belle,118093,51:07.0,51:14.9,forage,2133,2093,1463
belle,118133,51:07.0,51:19.0,forage,2085,2139,1994
belle,118134,51:07.0,51:19.1,forage,2023,2383,1119
belle,118135,51:07.0,51:19.2,forage,2052,2178,1887
belle,118136,51:07.0,51:19.3,forage,1893,2091,2036
belle,118137,51:07.0,51:19.4,forage,1951,2135,1563
belle,118138,51:07.0,51:19.5,forage,2147,1899,1742
belle,118139,51:07.0,51:19.6,forage,2392,1830,1183
belle,118140,51:07.0,51:19.7,forage,2597,2027,1566
belle,118141,51:07.0,51:19.8,forage,2270,2257,1784
belle,118142,51:07.0,51:19.9,forage,2266,2339,1406
belle,118143,51:07.0,51:20.0,forage,2218,2065,1665
belle,118144,51:07.0,51:20.1,forage,2170,2217,1567
belle,118145,51:07.0,51:20.2,forage,2174,2106,1726
belle,118146,51:07.0,51:20.3,forage,2340,2168,1605
belle,118147,51:07.0,51:20.4,forage,2481,2196,1588
belle,118148,51:07.0,51:20.5,forage,2173,2208,1506
belle,118149,51:07.0,51:20.6,forage,2320,2292,1615
belle,118150,51:07.0,51:20.7,forage,2356,2105,1701
belle,118151,51:07.0,51:20.8,forage,2430,2223,1655
belle,118152,51:07.0,51:20.9,forage,2274,2209,1514
