type,tag-serial-number,burst-start-timestamp,annotation,static-acceleration-x,static-acceleration-y,static-acceleration-z,odba,date
acc,0,10:21:31 AM,walking,2413.475,1876.125,2218.45,17290.15,2019-05-12
acc,0,10:21:38 AM,walking,2288.075,2191.75,2429.45,8106.9,2019-05-12
acc,0,10:21:45 AM,walking,2304.8,2045.3,2467.6,6465.8,2019-05-12
acc,0,10:21:52 AM,walking,2453.425,2135.7,2325.85,3652.3,2019-05-12
acc,0,10:21:59 AM,walking,2459.05,2155.025,2323.675,3675.05,2019-05-12
acc,0,10:22:06 AM,walking,2096.525,2537.8,2099.675,16513.1,2019-05-12
acc,0,10:22:13 AM,walking,2473,2155.175,2268.2,7159.9,2019-05-12
acc,0,10:22:20 AM,walking,2447,2162.425,2062.45,16782.4,2019-05-12
acc,0,10:22:27 AM,walking,2387.2,2291.625,1840.975,11170.35,2019-05-12
acc,0,10:22:34 AM,walking,2300.4,2346.05,1785.4,13106.4,2019-05-12
acc,0,10:22:41 AM,walking,2098.825,2361.575,1709.6,14751.9,2019-05-12
acc,0,10:23:09 AM,standing,2346.375,2355.225,1775.75,1855.4,2019-05-12
acc,0,10:23:16 AM,standing,2323.8,2343.85,1752.2,3837.6,2019-05-12
acc,0,10:23:23 AM,standing,2365.525,2352.075,1807.625,4373.5,2019-05-12
acc,0,10:23:51 AM,standing,2367.925,2326.9,1778.95,2763.8,2019-05-12
acc,0,10:23:58 AM,standing,2327.55,2350.3,1757.525,2308.95,2019-05-12
acc,0,10:24:05 AM,standing,2284.875,2354.15,1725.05,1539.65,2019-05-12
acc,0,10:24:12 AM,standing,2355.45,2323.875,1760.95,1824.7,2019-05-12
acc,0,10:24:19 AM,standing,2377.275,2305.775,1779.575,5214.45,2019-05-12
acc,0,10:24:26 AM,standing,2290.375,2355.625,1732.525,2521.4,2019-05-12
acc,0,10:24:33 AM,standing,2246.1,2339,1731.025,8404.35,2019-05-12
acc,0,10:24:40 AM,standing,2359.55,2335.725,1795.225,8716.2,2019-05-12
acc,0,10:24:47 AM,standing,2315.175,2364.75,1770.9,5698.4,2019-05-12
acc,0,10:24:54 AM,standing,2317.45,2343.4,1744.6,1617.3,2019-05-12
acc,0,10:25:01 AM,standing,2321.425,2348.525,1752.5,3728.5,2019-05-12
acc,0,10:25:08 AM,standing,2235.1,2361.2,1709.45,5463.2,2019-05-12
acc,0,10:25:15 AM,sit,2424.125,2284.8,1817.375,4693.55,2019-05-12
acc,0,10:25:22 AM,sit,2418.55,2260.8,1790.2,3773.5,2019-05-12
acc,0,10:25:29 AM,sit,2407.925,2266.425,1772.5,994.75,2019-05-12
acc,0,10:25:36 AM,sit,2414.85,2251.025,1785,4664.05,2019-05-12
acc,0,10:25:43 AM,lie,2452.025,2261.825,1838.775,3050.4,2019-05-12
acc,0,10:25:50 AM,lie,2436.05,2262.825,1811.625,2652.3,2019-05-12
acc,0,10:25:57 AM,lie,2449.15,2265.775,1847.65,2824.25,2019-05-12
